2ndFlrSF,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,GarageArea,TotalBsmtSF,YearBuilt
854.0,GLQ,706,150,548,856,2003
0.0,ALQ,978,284,460,1262,1976
866.0,GLQ,486,434,608,920,2001
,ALQ,216,540,642,756,1915
,GLQ,655,490,836,1145,2000
566.0,GLQ,732,64,480,796,1993
0.0,GLQ,1369,317,636,1686,2004
983.0,ALQ,859,216,484,1107,1973
752.0,Unf,0,952,468,952,1931
0.0,GLQ,851,140,205,991,1939
0.0,Rec,906,134,384,1040,1965
1142.0,,998,177,736,1175,2005
0.0,ALQ,737,175,352,912,1962
0.0,Unf,0,1494,840,1494,2006
0.0,BLQ,733,520,352,1253,1960
0.0,Unf,0,832,576,832,1929
0.0,ALQ,578,426,480,1004,1970
0.0,None,0,0,516,0,1967
,GLQ,646,468,576,1114,2004
0.0,LwQ,504,525,294,1029,1958
1218.0,Unf,0,1158,853,1158,2005
0.0,Unf,0,637,280,637,1930
0.0,,0,1777,534,1777,2002
0.0,GLQ,840,200,572,1040,1976
0.0,Rec,188,204,270,1060,1968
0.0,Unf,0,1566,890,1566,2007
0.0,,234,180,576,900,1951
,GLQ,1218,486,772,1704,2007
0.0,BLQ,1277,207,319,1484,1957
0.0,Unf,0,520,240,520,1927
668.0,Unf,0,649,250,649,1920
0.0,Unf,0,1228,271,1228,1966
0.0,Unf,0,1234,484,1234,2007
0.0,Rec,1018,380,447,1398,1959
0.0,GLQ,1153,408,556,1561,2005
1320.0,Unf,0,1117,691,1117,2004
0.0,Unf,0,1097,672,1097,1994
0.0,Rec,1213,84,498,1297,1954
0.0,GLQ,731,326,246,1057,1953
0.0,None,0,0,0,0,1955
0.0,Rec,643,445,440,1088,1965
,BLQ,967,383,308,1350,1959
0.0,ALQ,747,0,504,840,1983
0.0,LwQ,280,167,308,938,1975
0.0,ALQ,179,465,300,1150,1959
0.0,GLQ,456,1296,576,1752,2005
631.0,GLQ,1351,83,670,1434,2003
0.0,GLQ,24,1632,826,1656,2006
716.0,Unf,0,736,0,736,1920
0.0,BLQ,763,192,386,955,1966
676.0,GLQ,182,612,388,794,1997
0.0,Unf,0,816,528,816,1934
0.0,LwQ,104,0,516,816,1963
0.0,GLQ,1810,32,894,1842,1981
0.0,ALQ,384,0,572,384,1955
0.0,,490,935,576,1425,1964
756.0,GLQ,649,321,480,970,1999
,Unf,0,860,565,860,2004
1519.0,Unf,0,1410,641,1410,2006
0.0,ALQ,632,148,352,780,1972
0.0,ALQ,941,217,576,1158,2004
530.0,Unf,0,530,288,530,1920
0.0,GLQ,24,1346,484,1370,2006
808.0,Unf,0,576,480,576,1921
977.0,GLQ,739,318,645,1057,1997
1330.0,Unf,0,1143,852,1143,2004
0.0,GLQ,912,1035,576,1947,1970
0.0,GLQ,1013,440,558,1453,2003
0.0,Unf,0,747,220,747,1945
983.0,BLQ,603,701,667,1304,1953
0.0,ALQ,1880,343,516,2223,1973
0.0,ALQ,565,280,360,845,1982
833.0,Unf,0,832,427,832,1998
0.0,ALQ,320,404,490,1086,1954
765.0,Unf,0,840,379,840,1915
462.0,GLQ,462,0,297,462,1973
0.0,ALQ,228,724,283,952,1956
213.0,BLQ,336,295,240,672,1948
0.0,Unf,0,1768,0,1768,1968
548.0,Unf,0,440,440,440,1910
960.0,Rec,448,448,509,896,1968
0.0,GLQ,1201,36,405,1237,1998
0.0,GLQ,33,1530,758,1563,2007
0.0,Unf,0,1065,461,1065,1960
670.0,Unf,0,384,400,384,1995
1116.0,Unf,0,1288,462,1288,1991
876.0,Unf,0,684,400,684,2005
612.0,Unf,0,612,528,612,2009
0.0,Unf,0,1013,0,1013,1915
0.0,,588,402,0,990,1994
0.0,,0,0,420,0,1950
0.0,Rec,600,635,480,1235,1961
0.0,ALQ,713,163,432,876,1921
1031.0,Rec,1046,168,506,1214,1910
881.0,GLQ,648,176,684,824,1997
790.0,,310,370,420,680,1993
,ALQ,1162,426,472,1588,1999
0.0,Rec,520,440,432,960,1965
0.0,ALQ,108,350,366,458,1920
0.0,ALQ,569,381,0,950,1959
0.0,ALQ,1200,410,480,1610,1977
755.0,,0,741,476,741,1985
0.0,None,0,0,410,0,1979
0.0,Unf,0,1226,740,1226,2009
592.0,LwQ,224,816,240,1040,1931
,Unf,0,1053,648,1053,2003
0.0,Unf,0,641,273,641,1885
0.0,ALQ,104,516,250,789,1948
,Unf,0,793,0,793,1919
0.0,BLQ,705,1139,546,1844,1977
639.0,Rec,444,550,325,994,1954
656.0,GLQ,250,134,400,384,2000
1414.0,GLQ,984,280,792,1264,2007
0.0,,35,905,450,1809,1953
884.0,ALQ,774,104,180,1028,1945
